book,chapter,beg_verse,end_verse,genre,genre2,remarks
Genesis,4,17,23,list,geslachts,
Genesis,5,1,32,list,geslachts,
Genesis,10,1,32,list,geslachts,
Genesis,25,1,5,list,geslachts,
Genesis,25,12,16,list,geslachts,of tot vers 18?
Genesis,36,1,43,list,geslachts,
Genesis,46,8,27,list,lijst,
Exodus,1,1,5,list,lijst,
Exodus,6,13,26,list,geslachts,
Exodus,20,1,26,instruction,wet,
Exodus,21,1,36,instruction,wet,
Exodus,22,1,31,instruction,wet,
Exodus,23,1,33,instruction,wet,
Exodus,25,1,40,instruction,heiligdom,
Exodus,26,1,37,instruction,heiligdom,
Exodus,27,1,21,instruction,heiligdom,
Exodus,28,1,43,instruction,heiligdom,
Exodus,29,1,46,instruction,heiligdom,
Exodus,30,1,38,instruction,heiligdom,
Exodus,31,1,17,instruction,heiligdom,
Exodus,35,1,29,instruction,heiligdom,
Exodus,36,1,38,instruction,heiligdom,
Exodus,37,1,29,instruction,heiligdom,
Exodus,38,1,31,instruction,heiligdom,
Exodus,39,1,43,instruction,heiligdom,
Exodus,40,1,34,instruction,heiligdom,
Leviticus,1,1,17,instruction,heiligdom,
Leviticus,2,1,16,instruction,heiligdom,
Leviticus,3,1,17,instruction,heiligdom,
Leviticus,4,1,35,instruction,heiligdom,
Leviticus,5,1,19,instruction,heiligdom,
Leviticus,6,1,30,instruction,heiligdom,
Leviticus,7,1,38,instruction,heiligdom,
Leviticus,10,8,15,instruction,wet,
Leviticus,11,1,47,instruction,wet,
Leviticus,12,1,8,instruction,wet,
Leviticus,13,1,59,instruction,wet,
Leviticus,14,1,57,instruction,wet,
Leviticus,15,1,33,instruction,wet,
Leviticus,16,1,34,instruction,wet,verzoendag
Leviticus,17,1,16,instruction,wet,
Leviticus,18,1,30,instruction,wet,
Leviticus,19,1,37,instruction,wet,
Leviticus,20,1,27,instruction,wet,
Leviticus,21,1,24,instruction,wet,
Leviticus,22,1,33,instruction,wet,
Leviticus,23,1,44,instruction,wet,
Leviticus,24,1,23,instruction,wet,of 1:9 heiligdom
Leviticus,25,1,55,instruction,wet,
Leviticus,26,1,46,instruction,wet,
Leviticus,27,1,34,instruction,wet,
Numbers,1,1,46,list,lijst,
Numbers,2,3,32,list,lijst,
Numbers,3,1,43,list,lijst,
Numbers,4,1,27,instruction,heiligdom,
Numbers,4,28,49,list,lijst,
Numbers,5,1,31,instruction,wet,
Numbers,6,1,21,instruction,wet,
Numbers,7,1,89,instruction,heiligdom,
Numbers,8,1,26,instruction,heiligdom,
Numbers,9,10,14,instruction,wet,
Numbers,10,14,27,list,lijst,
Numbers,13,4,16,list,lijst,
Numbers,15,1,41,instruction,heiligdom,
Numbers,18,1,32,instruction,heiligdom,
Numbers,19,1,22,instruction,wet,
Numbers,26,1,61,list,lijst,
Numbers,27,6,11,instruction,wet,
Numbers,28,1,31,instruction,wet,
Numbers,29,1,40,instruction,heiligdom,
Numbers,30,1,16,instruction,wet,
Numbers,33,1,49,list,lijst,
Numbers,34,1,29,list,lijst,grenzen van kanaan
Numbers,35,1,34,instruction,wet,
Numbers,36,1,13,instruction,wet,
Deuteronomy,5,6,21,instruction,wet,
Deuteronomy,12,1,32,instruction,wet,
Deuteronomy,13,1,18,instruction,wet,
Deuteronomy,14,1,29,instruction,wet,
Deuteronomy,15,1,23,instruction,wet,
Deuteronomy,16,1,22,instruction,wet,
Deuteronomy,17,1,20,instruction,wet,
Deuteronomy,18,1,22,instruction,wet,
Deuteronomy,19,1,21,instruction,wet,
Deuteronomy,20,1,20,instruction,wet,
Deuteronomy,21,1,23,instruction,wet,
Deuteronomy,22,1,30,instruction,wet,
Deuteronomy,23,1,25,instruction,wet,
Deuteronomy,24,1,22,instruction,wet,
Deuteronomy,25,1,19,instruction,wet,
Joshua,12,9,24,list,lijst,
Joshua,13,2,33,list,lijst,
Joshua,15,1,12,list,lijst,grenzen
Joshua,15,20,62,list,lijst,
Joshua,16,1,10,list,lijst,grenzen
Joshua,18,11,28,list,lijst,grenzen
Joshua,19,1,48,list,lijst,grenzen
Joshua,21,1,42,list,lijst,
1_Samuel,30,27,30,list,lijst,
2_Samuel,23,24,39,list,lijst,
1_Kings,4,1,20,list,lijst,
Ezekiel,40,7,49,instruction,heiligdom,
Ezekiel,41,1,26,instruction,heiligdom,
Ezekiel,42,1,20,instruction,heiligdom,
Ezekiel,43,13,27,instruction,heiligdom,
Ezekiel ,45,9,25,instruction,heiligdom,
Ezekiel,46,1,24,instruction,heiligdom,
Ezekiel,47,13,23,list,lijst,grenzen
Ezekiel,48,1,35,list,lijst,
1_Chronicles,1,1,54,list,geslachts,
1_Chronicles,2,1,55,list,geslachts,
1_Chronicles,3,1,24,list,geslachts,
1_Chronicles,4,1,43,list,geslachts,
1_Chronicles,5,1,26,list,geslachts,
1_Chronicles,6,1,81,list,geslachts,
1_Chronicles,7,1,40,list,geslachts,
1_Chronicles,8,1,40,list,geslachts,
1_Chronicles,9,1,44,list,lijst,
1_Chronicles,11,26,47,list,lijst,
1_Chronicles,12,3,14,list,lijst,
1_Chronicles,12,23,37,list,lijst,
1_Chronicles,14,4,7,list,lijst,
1_Chronicles,23,2,24,list,lijst,
1_Chronicles,24,1,31,list,lijst,
1_Chronicles,25,1,31,list,lijst,
1_Chronicles,26,1,32,list,lijst,
1_Chronicles,27,1,34,list,lijst,
Ezra,2,1,67,list,lijst,
Ezra,7,1,5,list,lijst,
Ezra,8,1,20,list,lijst,
Ezra,10,20,43,list,lijst,
Nehemiah,3,1,32,list,lijst,
Nehemiah,7,6,69,list,lijst,
Nehemiah,10,1,28,list,lijst,
Nehemiah,11,3,36,list,lijst,
Nehemiah,12,1,26,list,lijst,
Esther,9,7,9,list,lijst,
